concept_id,concept_code,concept_name,concept_class_id,parent_concept_id,member_ingredient_count,member_drug_count
21601385,J07X,OTHER VACCINES,ATC 3rd,21601278,0,0
21603828,L02AX,Other hormones,ATC 4th,21603813,0,0
21600048,A02AA,Magnesium compounds,ATC 4th,21600047,47,873
21600092,A02BB,Prostaglandins,ATC 4th,21600080,1,11
21600498,A04AD,Other antiemetics,ATC 4th,21600491,8,401
21600515,A05AB,Preparations for biliary tract therapy,ATC 4th,21600510,1,164
21600628,A07BA,Charcoal preparations,ATC 4th,21600627,2,168
1123618,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,ATC 4th,21600744,6,191
21600875,A12B,POTASSIUM,ATC 3rd,21600857,6,872
21600908,A12CE,Selenium,ATC 4th,21600884,2,12
21600960,B01,ANTITHROMBOTIC AGENTS,ATC 2nd,21600959,60,1537
21600962,B01AA,Vitamin K antagonists,ATC 4th,21600961,7,113
21601027,B01AX,Other antithrombotic agents,ATC 4th,21600961,3,35
21601131,B03X,OTHER ANTIANEMIC PREPARATIONS,ATC 3rd,21601077,9,399
21601153,B05B,I.V. SOLUTIONS,ATC 3rd,21601136,17,1964
21601168,B05CA,Antiinfectives,ATC 4th,21601167,25,924
21601185,B05CX,Other irrigating solutions,ATC 4th,21601167,4,696
21600269,C01BD,"Antiarrhythmics, class III",ATC 4th,21600248,5,126
21600280,C01CA,Adrenergic and dopaminergic agents,ATC 4th,21600279,24,1070
21600315,C01D,VASODILATORS USED IN CARDIAC DISEASES,ATC 3rd,21601238,20,822
21600410,C02CA,Alpha-adrenoreceptor antagonists,ATC 4th,21600409,4,108
21600443,C02KC,MAO inhibitors,ATC 4th,21600438,1,6
21601522,C03CB,Sulfonamides and potassium in combination,ATC 4th,21601516,0,16
21601561,C04A,PERIPHERAL VASODILATORS,ATC 3rd,21601560,26,688
21601628,C05AX,Other agents for treatment of hemorrhoids and anal fissures for topical use,ATC 4th,21601606,20,4164
21601746,C08CA,Dihydropyridine derivatives,ATC 4th,21601745,15,590
21601979,D02B,PROTECTIVES AGAINST UV-RADIATION,ATC 3rd,21601968,4,114
21601985,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,ATC 2nd,21601907,22,638
21602074,D06BA,Sulfonamides,ATC 4th,21602073,6,84
21602095,D06BX,Other chemotherapeutics,ATC 4th,21602073,3,215
21602318,D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,ATC 3rd,21602281,2,141
21602388,G01AE,Sulfonamides,ATC 4th,21602361,1,611
21602537,G03D,PROGESTOGENS,ATC 3rd,21602471,17,430
21602614,G03HA,"Antiandrogens, plain",ATC 4th,21602613,1,15
21602657,G04BX,Other urologicals,ATC 4th,21602628,8,335
21602674,G04CB,Testosterone-5-alpha reductase inhibitors,ATC 4th,21602666,2,24
21602780,H05A,PARATHYROID HORMONES AND ANALOGUES,ATC 3rd,21602779,6,63
21602814,J01BA,Amphenicols,ATC 4th,21602813,2,134
21602984,J01FF,Lincosamides,ATC 4th,21602968,2,269
21603090,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,ATC 3rd,21603089,17,284
21603188,J05AX,Other antivirals,ATC 4th,21603127,12,172
21601245,J06,IMMUNE SERA AND IMMUNOGLOBULINS,ATC 2nd,21602795,35,376
21601361,J07BK,Varicella zoster vaccines,ATC 4th,21601329,2,32
21603849,L03A,IMMUNOSTIMULANTS,ATC 3rd,21603848,42,860
21603892,L04AA,Selective immunosuppressants,ATC 4th,21603891,14,191
21603986,M01AG,Fenamates,ATC 4th,21603933,5,94
21603991,M01AH,Coxibs,ATC 4th,21603933,5,85
21604036,M02AA,"Antiinflammatory preparations, non-steroids for topical use",ATC 4th,21604035,25,1575
21604128,M04,ANTIGOUT PREPARATIONS,ATC 2nd,21603931,10,211
21604165,M05BX,Other drugs affecting bone structure and mineralization,ATC 4th,21604147,8,231
21604175,M09AB,Enzymes,ATC 4th,21604171,3,86
21604375,N02CC,Selective serotonin (5HT1) agonists,ATC 4th,21604364,8,230
21604444,N04A,ANTICHOLINERGIC AGENTS,ATC 3rd,21604443,12,687
21604445,N04AA,Tertiary amines,ATC 4th,21604444,8,124
21604768,N06BX,Other psychostimulants and nootropics,ATC 4th,21604752,14,173
21604802,N07A,PARASYMPATHOMIMETICS,ATC 3rd,21604801,9,472
21604848,P01,ANTIPROTOZOALS,ATC 2nd,21604847,43,859
21604874,P01AX,Other agents against amoebiasis and other protozoal diseases,ATC 4th,21604849,8,66
21604899,P01BD,Diaminopyrimidines,ATC 4th,21604886,1,28
21603235,R02AB,Antibiotics,ATC 4th,21603216,6,181
21603396,R05DA,Opium alkaloids and derivatives,ATC 4th,21603395,17,1736
21603503,R06AX,Other antihistamines for systemic use,ATC 4th,21603445,21,488
21603552,S01A,ANTIINFECTIVES,ATC 3rd,21603551,82,4861
21605059,S01FA,Anticholinergics,ATC 4th,21605058,6,434
21605106,S01J,DIAGNOSTIC AGENTS,ATC 3rd,21603551,2,30
21605189,S03AA,Antiinfectives,ATC 4th,21605188,24,4063
21605227,V03,ALL OTHER THERAPEUTIC PRODUCTS,ATC 2nd,21605212,67,2152
21605263,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,ATC 4th,21605228,8,166
21605268,V03AF,Detoxifying agents for antineoplastic treatment,ATC 4th,21605228,9,463
21605297,V04C,OTHER DIAGNOSTIC AGENTS,ATC 3rd,21605295,48,1383
21605445,V09A,CENTRAL NERVOUS SYSTEM,ATC 3rd,21605444,8,298
21605474,V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,ATC 3rd,21605444,2,2
21605525,V09H,INFLAMMATION AND INFECTION DETECTION,ATC 3rd,21605444,3,9
21605590,V10XX,Various therapeutic radiopharmaceuticals,ATC 4th,21605585,5,40
947760,L01EK,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,ATC 4th,947753,3,33
947836,L01XJ,Hedgehog pathway inhibitors,ATC 4th,21603746,3,25
954909,L01FA,CD20 (Clusters of Differentiation 20) inhibitors,ATC 4th,955076,3,67
925120,L01EP,Cellular-mesenchymal-epithelial transition factor (c-MET) kinase inhibitors,ATC 4th,947753,2,18
723202,L01XM,Isocitrate dehydrogenase (IDH) inhibitors,ATC 4th,21603746,4,36
21601386,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ATC 1st,,434,8212
21600229,A03DB,Belladonna and derivatives in combination with analgesics,ATC 4th,21600220,0,0
21600530,A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,ATC 3rd,21600509,0,0
21600641,A07CA,Oral rehydration salt formulations,ATC 4th,21600640,0,0
21601193,B05DB,Hypertonic solutions,ATC 4th,21601191,0,0
21602157,D07BD,"Corticosteroids, very potent, combinations with antiseptics",ATC 4th,21602143,0,0
21604022,M01CA,Quinolines,ATC 4th,21604021,0,0
21604598,N05BD,Dibenzo-bicyclo-octadiene derivatives,ATC 4th,21604564,0,0
21603273,R03AH,Combinations of adrenergics,ATC 4th,21603249,0,0
21603502,R06AK,Combinations of antihistamines,ATC 4th,21603445,0,0
21605350,V06DB,"Fat/carbohydrates/proteins/minerals/vitamins, combinations",ATC 4th,21605348,0,0
21605368,V07AV,Technical disinfectants,ATC 4th,21605359,0,0
21600081,A02BA,H2-receptor antagonists,ATC 4th,21600080,5,394
21600201,A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,ATC 3rd,21600127,3,472
21600483,A03FA,Propulsives,ATC 4th,21600482,8,260
21600517,A05AX,Other drugs for bile therapy,ATC 4th,21600510,8,77
21600601,A07A,INTESTINAL ANTIINFECTIVES,ATC 3rd,21600600,20,1290
21600616,A07AB,Sulfonamides,ATC 4th,21600601,3,17
21600698,A09A,"DIGESTIVES, INCL. ENZYMES",ATC 3rd,21600697,14,522
1123627,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ATC 4th,21600744,6,74
21600838,A11GB,"Ascorbic acid (vitamin C), combinations",ATC 4th,21600835,0,74
21600858,A12A,CALCIUM,ATC 3rd,21600857,12,1615
21600859,A12AA,Calcium,ATC 4th,21600858,12,1615
21600941,A16AB,Enzymes,ATC 4th,21600933,24,225
21600436,C02DG,Guanidine derivatives,ATC 4th,21600424,1,6
21601511,C03BD,Xanthine derivatives,ATC 4th,21601489,1,3
21601516,C03C,HIGH-CEILING DIURETICS,ATC 3rd,21601461,5,336
21601702,C07BA,"Beta blocking agents, non-selective, and thiazides",ATC 4th,21601701,0,63
1123698,C07FX,"Beta blocking agents, other combinations",ATC 4th,21601738,0,2
21601776,C08EX,Other non-selective calcium channel blockers,ATC 4th,21601772,2,11
21601965,D01BA,Antifungals for systemic use,ATC 4th,21601964,2,117
21602003,D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",ATC 3rd,21602002,19,2462
21602029,D05A,ANTIPSORIATICS FOR TOPICAL USE,ATC 3rd,21602028,10,356
21602044,D05B,ANTIPSORIATICS FOR SYSTEMIC USE,ATC 3rd,21602028,12,400
21602052,D05BX,Other antipsoriatics for systemic use,ATC 4th,21602044,7,318
21602147,D07BB,"Corticosteroids, moderately potent, combinations with antiseptics",ATC 4th,21602143,0,39
21602197,D08AA,Acridine derivatives,ATC 4th,21602196,4,60
21602224,D08AH,Quinoline derivatives,ATC 4th,21602196,4,82
21602283,D10AA,"Corticosteroids, combinations for treatment of acne",ATC 4th,21602282,3,471
21602334,D11AE,Androgens for topical use,ATC 4th,21602324,1,6
21602360,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,ATC 2nd,21602359,60,3526
21602429,G02,OTHER GYNECOLOGICALS,ATC 2nd,21602359,59,1964
21602453,G02CA,"Sympathomimetics, labour repressants",ATC 4th,21602452,3,46
21602472,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,ATC 3rd,21602471,10,1013
40254009,G03AD,Emergency contraceptives,ATC 4th,21602472,2,145
21602628,G04B,UROLOGICALS,ATC 3rd,21602627,31,1129
21602695,H01AX,Other anterior pituitary lobe hormones and analogues,ATC 4th,21602683,1,23
21602719,H01CC,Anti-gonadotropin-releasing hormones,ATC 4th,21602709,4,53
21602852,J01CF,Beta-lactamase resistant penicillins,ATC 4th,21602818,6,225
21602968,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",ATC 3rd,21602796,16,863
21603109,J04AK,Other drugs for treatment of tuberculosis,ATC 4th,21603090,5,58
21601247,J06AA,Immune sera,ATC 4th,21601246,14,44
21601315,J07AM,Tetanus vaccines,ATC 4th,21601279,2,232
21601347,J07BE,Mumps vaccines,ATC 4th,21601329,1,35
21601358,J07BJ,Rubella vaccines,ATC 4th,21601329,3,56
21601434,L01BC,Pyrimidine analogues,ATC 4th,21601421,8,209
21604071,M03AA,Curare alkaloids,ATC 4th,21604070,3,21
21604091,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",ATC 3rd,21604069,15,518
21604126,M03CA,Dantrolene and derivatives,ATC 4th,21604125,1,33
21604194,N01AF,"Barbiturates, plain",ATC 4th,21604182,3,62
21604253,N02,ANALGESICS,ATC 2nd,21604180,79,9537
21604254,N02A,OPIOIDS,ATC 3rd,21604253,24,3790
21604291,N02AG,Opioids in combination with antispasmodics,ATC 4th,21604254,0,11
21604593,N05BC,Carbamates,ATC 4th,21604564,1,92
21604607,N05CA,"Barbiturates, plain",ATC 4th,21604606,15,261
21604856,P01AB,Nitroimidazole derivatives,ATC 4th,21604849,5,285
21604886,P01B,ANTIMALARIALS,ATC 3rd,21604848,13,246
21605032,R01AC,"Antiallergic agents, excl. corticosteroids",ATC 4th,21605009,9,191
21605084,S01GX,Other antiallergics,ATC 4th,21605071,13,345
21605126,S01XA,Other ophthalmologicals,ATC 4th,21605125,56,3161
